,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
223,Manchester by the Sea,7.8 (275k),Drama ,2h 17min,R,Kenneth Lonergan 
224,The Cutting Edge,6.9 (20k),"Comedy , Drama , Romance , Sport ",1h 41min,PG,Paul Michael Glaser 
225,Hell House LLC,6.4 (14k),"Horror , Mystery & Thriller ",1h 33min,R,Stephen Cognetti 
226,The Voyeurs,6.0 (19k),"Mystery & Thriller , Drama ",1h 57min,R,Michael Mohan 
227,We Were Soldiers,7.1 (140k),"Action & Adventure , History , War & Military , Drama ",2h 23min,R,Randall Wallace 
228,Lemon,4.7 (2k),"Comedy , Drama ",1h 23min,NULL,Janicza Bravo 
229,The Marksman,5.6 (32k),"Mystery & Thriller , Action & Adventure , Drama , Western ",1h 48min,PG-13,Robert Lorenz 
230,Thunderball,6.9 (116k),"Mystery & Thriller , Action & Adventure ",2h 11min,PG,Terence Young 
231,Master,4.9 (4k),"Drama , Mystery & Thriller , Horror ",1h 38min,R,Mariama Diallo 
232,True Grit,7.4 (47k),"Western , Drama ",2h 8min,G,Henry Hathaway 
233,The VelociPastor,5.0 (5k),"Comedy , Mystery & Thriller , Action & Adventure , Fantasy , Horror , Science-Fiction ",1h 15min,NULL,Brendan Steere 
234,Freaks,6.7 (34k),"Mystery & Thriller , Science-Fiction , Drama ",1h 45min,R,Adam B. Stein 
235,Emancipation,7.9,"Drama , Made in Europe ",1h 55min,NULL,Philipp Müller-Dorn 
236,Porky's,6.2 (42k),Comedy ,1h 34min,R,Bob Clark 
237,The Little Death,7.0 (26k),"Comedy , Drama , Romance ",1h 36min,NULL,Josh Lawson 
238,To Catch a Thief,7.4 (72k),"Mystery & Thriller , Romance ",1h 47min,PG,Alfred Hitchcock 
239,Marrowbone,6.6 (30k),"Mystery & Thriller , Horror , Drama , Made in Europe ",1h 50min,R,Sergio G. Sánchez 
240,Brimstone,7.0 (40k),"Western , Mystery & Thriller , Drama , Made in Europe ",2h 22min,R,Martin Koolhoven 
241,Funny Girl,7.3 (22k),"Romance , Drama , Comedy ",2h 28min,G,William Wyler 
242,Over the Top,5.8 (54k),"Action & Adventure , Sport , Drama ",1h 33min,PG,Menahem Golan 
243,Lo and Behold: Reveries of the Connected World,7.0 (12k),Documentary ,1h 39min,PG-13,Werner Herzog 
244,Made in America,4.9,"Documentary , Music & Musical ",1h 33min,NULL,Ron Howard 
245,Charlotte's Web,6.9 (20k),"Drama , Comedy , Kids & Family , Animation ",1h 34min,G,Charles A. Nichols 
