,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
86,The Last Samurai,7.8 (431k),"Drama , War & Military , History , Action & Adventure ",2h 34min,R,Edward Zwick 
87,Les Misérables,7.5 (325k),"Drama , Romance , History , War & Military ",2h 38min,PG-13,Tom Hooper 
88,You've Got Mail,6.7 (210k),"Comedy , Romance , Drama ",1h 59min,PG,Nora Ephron 
89,Midnight in Paris,7.7 (417k),"Romance , Comedy , Fantasy ",1h 34min,PG-13,Woody Allen 
90,True Grit,7.6 (334k),"Western , Drama ",1h 50min,PG-13,Ethan Coen 
91,Legend,6.9 (176k),"Mystery & Thriller , Crime , Drama , Made in Europe ",2h 11min,R,Brian Helgeland 
92,Red Notice,6.3 (260k),"Action & Adventure , Comedy , Crime , Mystery & Thriller ",1h 58min,PG-13,Rawson Marshall Thurber 
93,Love Actually,7.6 (475k),"Comedy , Drama , Romance ",2h 14min,R,Richard Curtis 
94,The Social Network,7.8 (685k),Drama ,2h 0min,PG-13,David Fincher 
95,Kung Fu Panda 2,7.2 (278k),"Animation , Comedy , Kids & Family , Fantasy , Drama , Action & Adventure ",1h 30min,PG,Jennifer Yuh Nelson 
96,Contagion,6.8 (300k),"Mystery & Thriller , Science-Fiction , Drama , Action & Adventure ",1h 46min,PG-13,Steven Soderbergh 
97,Rush,8.1 (470k),"Drama , Action & Adventure , Sport , Made in Europe ",2h 3min,R,Ron Howard 
98,The Girl Next Door,6.7 (222k),"Romance , Comedy , Drama ",1h 50min,NULL,Luke Greenfield 
99,Raw,7.0 (72k),"Drama , Horror , Fantasy , Made in Europe ",1h 39min,R,Julia Ducournau 
100,War Dogs,7.1 (209k),"Crime , Drama , War & Military , Comedy ",1h 54min,R,Todd Phillips 
101,Big Fish,8.0 (436k),"Fantasy , Drama , Romance ",2h 5min,PG-13,Tim Burton 
102,I'm Thinking of Ending Things,6.6 (81k),"Fantasy , Mystery & Thriller , Drama ",2h 14min,R,Charlie Kaufman 
103,The House,6.8 (13k),"Animation , Drama , Comedy , Fantasy , Mystery & Thriller ",1h 37min,R,Paloma Baeza 
104,The Gift,7.0 (154k),"Mystery & Thriller , Documentary , Drama ",1h 48min,R,NULL
105,Argo,7.7 (600k),"Mystery & Thriller , Drama ",2h 0min,R,Ben Affleck 
106,Jackass: The Movie,6.6 (93k),"Comedy , Documentary , Action & Adventure ",1h 28min,R,Jeff Tremaine 
107,The Girl with the Dragon Tattoo,7.8 (456k),"Mystery & Thriller , Crime , Drama ",2h 31min,R,David Fincher 
108,The Bubble,4.7 (21k),Comedy ,2h 6min,R,Judd Apatow 
109,The Lost Daughter,6.7 (58k),Drama ,2h 2min,R,Maggie Gyllenhaal 
110,Molly's Game,7.4 (165k),"Drama , Sport , Crime ",2h 19min,R,Aaron Sorkin 
111,Brahms: The Boy II,4.7 (16k),"Mystery & Thriller , Drama , Horror ",1h 26min,PG-13,William Brent Bell 
112,Oldboy,5.7 (75k),"Mystery & Thriller , Action & Adventure , Drama ",1h 44min,R,Spike Lee 
113,Public Enemies,7.0 (299k),"Action & Adventure , Crime , Drama , History , Made in Europe ",2h 19min,R,Michael Mann 
